iter	Passed	Remaining
0	196	97934
1	347	86574
2	525	86979
3	556	68975
4	723	71609
5	871	71789
6	1137	80131
7	1342	82544
8	1573	85845
9	1772	86854
10	1961	87207
11	2157	87737
12	2337	87558
13	2526	87722
14	2612	84485
15	2778	84051
16	2974	84522
17	3192	85492
18	3378	85540
19	3558	85392
20	3731	85106
21	3955	85933
22	4140	85877
23	4371	86697
24	4557	86583
25	4785	87245
26	5021	87962
27	5233	88229
28	5420	88042
29	5626	88140
30	5882	88997
31	6107	89327
32	6382	90323
33	6580	90196
34	6849	91002
35	7057	90962
36	7330	91730
37	7658	93111
38	7933	93777
39	8120	93389
40	8420	94265
41	8634	94152
42	8888	94467
43	9159	94928
44	9408	95128
45	9646	95208
46	9942	95828
47	10215	96193
48	10473	96395
49	10704	96344
50	10928	96213
51	11138	95964
52	11455	96616
53	11717	96781
54	12014	97211
55	12305	97562
56	12568	97683
57	12843	97877
58	13083	97790
59	13277	97368
60	13673	98403
61	13962	98639
62	14201	98507
63	14470	98583
64	14757	98763
65	15019	98764
66	15281	98760
67	15586	99021
68	15896	99295
69	16215	99607
70	16463	99475
71	16725	99424
72	16959	99201
73	17255	99337
74	17537	99380
75	17807	99347
76	18039	99098
77	18305	99034
78	18538	98795
79	18765	98520
80	18996	98263
81	19217	97964
82	19417	97556
83	19629	97215
84	19884	97083
85	20120	96858
86	20365	96676
87	20616	96524
88	20878	96417
89	21121	96222
90	21362	96012
91	21584	95724
92	21749	95185
93	21968	94885
94	22230	94773
95	22486	94631
96	22792	94695
97	23033	94484
98	23294	94354
99	23532	94128
100	23735	93765
101	24062	93889
102	24315	93722
103	24565	93537
104	24813	93347
105	25071	93190
106	25334	93049
107	25584	92861
108	25802	92556
109	26070	92430
110	26326	92261
111	26586	92104
112	26840	91921
113	27068	91653
114	27336	91517
115	27563	91245
116	27854	91180
117	28107	90991
118	28357	90791
119	28610	90600
120	28859	90393
121	29095	90148
122	29337	89919
123	29587	89717
124	29898	89696
125	30190	89613
126	30457	89453
127	30688	89188
128	30936	88972
129	31151	88662
130	31417	88497
131	31697	88369
132	31960	88191
133	32172	87875
134	32405	87615
135	32671	87445
136	32891	87149
137	33139	86931
138	33399	86741
139	33660	86554
140	33885	86275
141	34130	86046
142	34336	85721
143	34568	85461
144	34821	85253
145	35063	85016
146	35301	84771
147	35563	84584
148	35819	84379
149	36049	84116
150	36246	83773
151	36467	83490
152	36706	83249
153	36933	82979
154	37137	82661
155	37402	82478
156	37669	82297
157	37954	82153
158	38237	82005
159	38468	81746
160	38711	81510
161	38954	81275
162	39197	81040
163	39452	80830
164	39708	80619
165	40006	80495
166	40247	80253
167	40505	80045
168	40748	79808
169	40981	79551
170	41218	79302
171	41463	79070
172	41722	78862
173	42021	78730
174	42267	78495
175	42560	78350
176	42839	78176
177	43127	78016
178	43391	77814
179	43619	77546
180	43851	77285
181	44107	77066
182	44327	76786
183	44549	76508
184	44829	76331
185	45111	76156
186	45422	76028
187	45737	75905
188	46062	75796
189	46422	75741
190	46746	75625
191	47050	75477
192	47320	75270
193	47583	75054
194	47826	74805
195	48120	74635
196	48356	74375
197	48670	74235
198	48936	74018
199	49227	73840
200	49520	73664
201	49789	73452
202	50086	73279
203	50359	73070
204	50674	72921
205	50947	72710
206	51236	72522
207	51493	72288
208	51801	72126
209	52099	71947
210	52357	71712
211	52639	71510
212	52921	71307
213	53238	71151
214	53522	70949
215	53752	70674
216	53996	70419
217	54246	70171
218	55450	71148
219	55728	70926
220	55972	70661
221	56225	70408
222	56507	70190
223	56775	69955
224	57090	69776
225	57325	69501
226	57582	69250
227	57854	69019
228	58136	68799
229	58394	68550
230	58694	68350
231	58969	68120
232	59229	67872
233	59497	67633
234	59753	67382
235	60021	67142
236	60278	66891
237	60571	66679
238	60822	66421
239	61108	66200
240	61346	65928
241	61676	65754
242	61929	65497
243	62227	65288
244	62501	65052
245	62760	64801
246	63007	64537
247	63273	64294
248	63499	64009
249	63801	63801
250	64051	63541
251	64280	63260
252	64543	63012
253	64805	62764
254	65036	62485
255	65271	62212
256	65519	61950
257	65768	61690
258	66017	61429
259	66271	61174
260	66571	60960
261	66880	60753
262	67220	60575
263	67481	60324
264	67746	60077
265	68087	59896
266	68381	59674
267	68646	59425
268	68918	59183
269	69162	58916
270	69418	58660
271	69701	58426
272	69971	58181
273	70247	57941
274	70503	57684
275	70747	57417
276	71054	57202
277	71286	56926
278	71555	56680
279	71862	56463
280	72148	56229
281	72422	55986
282	72703	55748
283	72993	55516
284	73277	55279
285	73526	55016
286	73793	54766
287	74080	54531
288	74348	54282
289	74617	54033
290	74903	53796
291	75144	53527
292	75433	53292
293	75773	53093
294	76080	52869
295	76354	52622
296	76593	52351
297	76887	52118
298	77155	51867
299	77414	51609
300	77694	51366
301	78037	51163
302	78390	50966
303	78717	50751
304	79041	50534
305	79348	50305
306	79599	50041
307	79879	49794
308	80142	49537
309	80383	49267
310	80634	49003
311	80940	48772
312	81233	48532
313	81465	48256
314	81737	48004
315	82034	47767
316	82308	47515
317	82557	47249
318	82812	46987
319	83078	46731
320	83364	46486
321	83647	46239
322	83991	46026
323	84308	45797
324	84613	45561
325	84965	45349
326	85356	45157
327	85675	44927
328	85993	44695
329	86305	44460
330	86645	44239
331	86940	43993
332	87337	43799
333	87633	43554
334	87934	43310
335	88229	43064
336	88498	42805
337	88820	42570
338	89170	42349
339	89463	42100
340	89715	41831
341	89979	41569
342	90246	41308
343	90539	41058
344	90829	40807
345	91105	40550
346	91393	40297
347	91636	40024
348	91874	39750
349	92156	39495
350	92449	39244
351	92734	38990
352	93036	38743
353	93322	38488
354	93604	38232
355	93961	38006
356	94270	37760
357	94532	37495
358	94900	37272
359	95281	37054
360	95592	36807
361	95902	36559
362	96196	36305
363	96510	36058
364	96769	35791
365	97117	35556
366	97393	35295
367	97705	35046
